;י;ק;ד;ו;ב;צ;ץ;ז;ש;ך;ט;ג;ן;ר;ח;נ;ס;מ;ל;כ;ה;ת;ף;ם;פ;ע;א
י;1.0;0.5974088411225302;0.7619130854833824;0.6374580516679043;0.28136382767773704;0.30617871980372413;0.6843555946009428;0.6838635753095595;0.2879238669722618;0.5214588196216094;0.33088308765632457;0.35757532903236877;0.5747716327598876;0.6569583396674552;0.590067637109828;0.3244503436413828;0.36948687273217606;0.3898906670975303;0.5017600083877707;0.4103821494554285;0.593078712771842;0.4179932872004225;0.61746449815016;0.2821739555627796;0.3730019722529254;0.3707526841599279;0.4131244671794807
ק;0.5974088411225302;1.0;0.812255588519162;0.5774221647404674;0.45304793976698965;0.44745617116345315;0.858698325117004;0.6823639144846154;0.45177525119071926;0.6372005711430416;0.4675918404041107;0.410584787599235;0.6270314842734445;0.6840862714952698;0.7948925791198906;0.372115637576113;0.5574377459331036;0.5672647140584108;0.5895878027771424;0.5567448127107057;0.7867505066967878;0.6381653816941635;0.7917676980565396;0.4941593839861804;0.5597276692210549;0.45848120890630306;0.5751767093805118
ד;0.7619130854833824;0.812255588519162;1.0;0.6325904930559807;0.38618913088295725;0.39117139629629594;0.8370370315673669;0.699410724820625;0.3726698329352205;0.6928201850495143;0.40267067519522237;0.3963369064758966;0.6337023579654252;0.7883608778074936;0.732575925515699;0.35342404261944094;0.47871054162353965;0.4909652842348967;0.6241017712975927;0.5100552576616553;0.7460794605455844;0.5410979818054401;0.8376773023677352;0.40485104553863227;0.47772870982842575;0.4177819488769057;0.5080412745356859
ו;0.6374580516679043;0.5774221647404674;0.6325904930559807;1.0;0.6056922230272995;0.6163262524739079;0.5718185116979618;0.7765682906817015;0.5552392572462939;0.4998693404235516;0.623444656308658;0.7129685086751474;0.8670746647153476;0.6481307874459278;0.6857542471362639;0.6804716004470315;0.6396474602129488;0.6611759811935858;0.2697859358061677;0.7253934890830592;0.7202127196067467;0.6416081725648914;0.5419470282984337;0.5554320465666145;0.6451460094533884;0.6749306088882712;0.6468750781475165
ב;0.28136382767773704;0.45304793976698965;0.38618913088295725;0.6056922230272995;1.0;0.8703136489808703;0.36765284996186187;0.5109802318316701;0.758483899926434;0.35166120908534226;0.7995909380567625;0.8053144283333602;0.6687314680293857;0.43900121565368966;0.5889648752294294;0.7747222401212857;0.8273420590008376;0.8151629115440958;0.0587883371361525;0.8689198851245451;0.6166927442285461;0.7483256147922703;0.37400527918398563;0.8373625809244003;0.8206506183374351;0.7743243535642483;0.7399891121924329
צ;0.30617871980372413;0.44745617116345315;0.39117139629629594;0.6163262524739079;0.8703136489808703;1.0;0.3737525721241959;0.5205348610147811;0.850904338500217;0.31455076229676704;0.8709051663945286;0.8121038472908367;0.648879427260453;0.4334360671319577;0.6171340377805472;0.7751111823282286;0.8752068667802625;0.8601988872011135;0.049415325266034205;0.8306594851684038;0.6236318683142029;0.7785448254736924;0.361616380496794;0.8734097013737885;0.8577700045175982;0.855021077304234;0.8167451499787213
ץ;0.6843555946009428;0.858698325117004;0.8370370315673669;0.5718185116979618;0.36765284996186187;0.3737525721241959;1.0;0.724941732325405;0.38677567969178717;0.5727973233559014;0.40845616901072046;0.3601814555499274;0.5991867734991307;0.6380539214396379;0.7282806499713672;0.3294148122707643;0.47999557224416023;0.4970445906576917;0.6379317970285425;0.4800826442030024;0.7045128042947111;0.5609623023157289;0.7333161175057954;0.40329335648314546;0.48829790204716017;0.4122478527813771;0.508210742539598
ז;0.6838635753095595;0.6823639144846154;0.699410724820625;0.7765682906817015;0.5109802318316701;0.5205348610147811;0.724941732325405;1.0;0.5155148534131445;0.47353901264711606;0.5658625242611794;0.5644888017076681;0.7922895157682456;0.5895885952341653;0.7193475135551964;0.5519564479169214;0.595522413701133;0.6243997909131034;0.3915954242642359;0.6235898590537656;0.7107605888147068;0.6442471937112462;0.571690774403174;0.5016390406606461;0.6153030654829084;0.5943188628978222;0.6083113150097859
ש;0.2879238669722618;0.45177525119071926;0.3726698329352205;0.5552392572462939;0.758483899926434;0.850904338500217;0.38677567969178717;0.5155148534131445;1.0;0.24874400936947205;0.9041145790424322;0.7043089209232594;0.5840851609557475;0.3750187225534435;0.6270436227708903;0.6863638348469961;0.8578228000215224;0.8593598460606868;0.047135506688148476;0.7333204155422856;0.6028843013348268;0.8097396406057857;0.3293441154750094;0.8431263438771552;0.8571532913996193;0.8465498697650344;0.8555478839129025
ך;0.5214588196216094;0.6372005711430416;0.6928201850495143;0.4998693404235516;0.35166120908534226;0.31455076229676704;0.5727973233559014;0.47353901264711606;0.24874400936947205;1.0;0.2827469279835727;0.3248822374901792;0.5277868513288257;0.7976162274857956;0.5526452785053035;0.2711339386934686;0.37900473563691983;0.3772381135344285;0.5359184291511883;0.456046725003147;0.6184572080953747;0.41382569747927667;0.8146778195037561;0.3368450758586481;0.36744834676492233;0.28895625203345376;0.37487829700857334
