;י;ק;ד;ו;ב;צ;ץ;ז;ש;ך;ט;ג;ן;ר;ח;נ;ס;מ;ל;כ;ה;ת;ף;ם;פ;ע;א
י;1.0;0.6891310912863177;0.6090991017098242;0.6600583899000289;0.6573331286319379;0.7036316298797263;0.5904119235265184;0.742408599731283;0.6615290230364128;0.34855592836505733;0.6412394156926207;0.6628761660800128;0.800728240564867;0.37328216090540023;0.8049975607838838;0.7291717146692707;0.7463475500611529;0.7664468254173513;0.7475279269481306;0.7072101864778364;0.7683587159922656;0.704045804928128;0.6389523587811248;0.7277641223392005;0.7643875749638219;0.6923685341226221;0.7556188339366473
ק;0.6891310912863177;1.0;0.46172407515559066;0.5246508010048033;0.7415435400258131;0.7493465635680786;0.7326089000933763;0.8552779356981727;0.8039753359810906;0.19713999006149208;0.8096560568381403;0.7116245028873336;0.7276066874092164;0.17222245815146575;0.7387534307127104;0.703948644872548;0.7746600630680314;0.7539120005837572;0.5809686057586508;0.7886532048204966;0.7679130804589491;0.8233056665240492;0.48743499567686654;0.7318340076972386;0.7613722217263622;0.7552460776508533;0.7828702408325805
ד;0.6090991017098242;0.46172407515559066;1.0;0.7163340568661127;0.5158904660002164;0.5338068337119641;0.3262001796388042;0.5456912219742529;0.43679340692557056;0.6027240814008803;0.39577494469697894;0.49988298024656364;0.625450898425951;0.6380731867321032;0.6556381952656724;0.4786043448583872;0.5189780215422033;0.5862654385072508;0.7622218634266766;0.5603391864388827;0.6740504716226751;0.48083679750226294;0.7854142934819359;0.5661840524312092;0.5227049813024458;0.4017292559759025;0.5634206508420168
ו;0.6600583899000289;0.5246508010048033;0.7163340568661127;1.0;0.6777831469844219;0.677424834247653;0.3231302954946339;0.6041961186297234;0.5507670197802219;0.6164456377706038;0.5080941525529242;0.6942337109922673;0.7662476487321171;0.590211939687588;0.644277141128694;0.6432956622380175;0.6430670665046856;0.6842743238738798;0.6771574783625158;0.6792112514671416;0.7074851346777846;0.5234753594347391;0.8238800830228287;0.6867295090020888;0.6204596470568444;0.4952032783836948;0.667159576447217
ב;0.6573331286319379;0.7415435400258131;0.5158904660002164;0.6777831469844219;1.0;0.9222606591646326;0.5198227061953258;0.7699876291886019;0.8267019135763858;0.32949880747115545;0.7897540852389366;0.9220014686065152;0.8325433499218158;0.29473893594639866;0.7143531818169109;0.8282353127016328;0.8561907644205509;0.8417016504402045;0.5584054555612539;0.916150616871203;0.7890428699198901;0.7411562640043161;0.5819406848223099;0.8667895951498285;0.804719783389623;0.7233595618624933;0.8547926635305102
צ;0.7036316298797263;0.7493465635680786;0.5338068337119641;0.677424834247653;0.9222606591646326;1.0;0.5539216698361603;0.7892975343697954;0.8620571797044024;0.32041444387323414;0.8145704287848948;0.8884670903158884;0.8543671063440605;0.3046628018576797;0.7658216130343293;0.8679171547741704;0.9150285883588211;0.9034294501574097;0.5813931204972035;0.9183822319136276;0.8153842795693914;0.7873187991908102;0.5865354340283768;0.9238978807199802;0.8674412212339961;0.7752080744129815;0.9179149506780379
ץ;0.5904119235265184;0.7326089000933763;0.3262001796388042;0.3231302954946339;0.5198227061953258;0.5539216698361603;1.0;0.6903137215092541;0.6463200204304751;0.0;0.675842686938664;0.49238482458068156;0.538628870483947;0.011363469168072404;0.6378329157781759;0.5522872516894952;0.6028706151686924;0.5911717329792816;0.45418402206729147;0.5796474070000495;0.590440056802656;0.7496794766468904;0.2989425557587647;0.5530119886421085;0.630509556567628;0.7056484766085285;0.6046140596413366
ז;0.742408599731283;0.8552779356981727;0.5456912219742529;0.6041961186297234;0.7699876291886019;0.7892975343697954;0.6903137215092541;1.0;0.8013903463488862;0.2564121501287111;0.7948624046697255;0.753041825580401;0.798505105574044;0.24437952263842477;0.801688970076108;0.7462097408199491;0.7947492510314387;0.8093964032194113;0.6221872825262643;0.8399439409477588;0.8356737762569846;0.8331037065041214;0.5402607457945312;0.7668574101760574;0.7911598286542275;0.760569959678568;0.8240521423676744
ש;0.6615290230364128;0.8039753359810906;0.43679340692557056;0.5507670197802219;0.8267019135763858;0.8620571797044024;0.6463200204304751;0.8013903463488862;1.0;0.1924895121604363;0.9383433695061785;0.797489161512444;0.752755457315153;0.18092724231100277;0.732214607828761;0.8178811865345365;0.8746008621160895;0.8319819294536319;0.5103004800235722;0.8400317156614094;0.7503269823280783;0.8555123403163297;0.4707944636430077;0.8274278980647757;0.8523969032077107;0.8578969525333063;0.8650141767288757
ך;0.34855592836505733;0.19713999006149208;0.6027240814008803;0.6164456377706038;0.32949880747115545;0.32041444387323414;0.0;0.2564121501287111;0.1924895121604363;1.0;0.14636617430765686;0.3318907773314924;0.407956131995454;0.8174721294309302;0.3358251577635074;0.27923190977595;0.2920804179703681;0.33595363197627937;0.5006978147477827;0.3280437461337834;0.38678688279764506;0.1830556224268689;0.6962041454722485;0.3459335618992071;0.27392582857278436;0.13633310132941345;0.31575814269566926
